brand,name,id,sale,priceU,salePriceU,url
Universal,Розетка двойная с заземлением,177914699,50,1532.0,766.0,https://basket-12.wb.ru/vol1779/part177914/177914699/info/sellers.json
ФAZA,Изолента черная строительный материал инструмент электрика,89163608,44,529.0,296.0,https://basket-05.wb.ru/vol891/part89163/89163608/info/sellers.json
EKF.,Изолента черная строительный материал инструмент электрика,81350048,35,837.0,544.0,https://basket-05.wb.ru/vol813/part81350/81350048/info/sellers.json
Chamaleon,"Грунтовка автомобильная CHAMAELEON 5+1 HS Optimal 1л, серый",166842159,3,2597.0,2519.0,https://basket-12.wb.ru/vol1668/part166842/166842159/info/sellers.json
Slovak,"Стартер с редуктором 12В 4,2кВт ЮМЗ (дв. Д-65) (z=10,m=3m)",176676155,15,22080.0,18768.0,https://basket-12.wb.ru/vol1766/part176676/176676155/info/sellers.json
Y-Kelin,Зубная щетка для брекетов мягкая ортодонтическая с ершиком,15608745,52,650.0,312.0,https://basket-02.wb.ru/vol156/part15608/15608745/info/sellers.json
флекк,Изоляция для труб ø18 4 мм 10 м полиэтилен цвет синий,169941352,0,432.0,432.0,https://basket-12.wb.ru/vol1699/part169941/169941352/info/sellers.json
HELP*,Плёнка липкая операционная,90986691,50,2664.0,1332.0,https://basket-05.wb.ru/vol909/part90986/90986691/info/sellers.json
Электро,Светильник круглый без решетки 100W,142948257,82,2979.0,536.0,https://basket-10.wb.ru/vol1429/part142948/142948257/info/sellers.json
Y-Kelin,Зубная щетка для брекетов мягкая ортодонтическая с ершиком,15608746,52,650.0,312.0,https://basket-02.wb.ru/vol156/part15608/15608746/info/sellers.json
Y-Kelin,Зубная щетка для брекетов мягкая ортодонтическая с ершиком,15608744,48,650.0,338.0,https://basket-02.wb.ru/vol156/part15608/15608744/info/sellers.json
фликк,Изоляция для труб ø18 4 мм 10 м полиэтилен цвет красный,169941178,0,432.0,432.0,https://basket-12.wb.ru/vol1699/part169941/169941178/info/sellers.json
Y-Kelin,Зубная щетка для брекетов мягкая ортодонтическая с ершиком,15608747,48,650.0,338.0,https://basket-02.wb.ru/vol156/part15608/15608747/info/sellers.json
